EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME
   61,916754,HERAKLION                               ,GR,+35:19:59,+025:10:59,  39, TG5,19820113,20190430,    -,Synoptical message from GTS
   62,100237,LARISSA                                 ,GR,+39:39:00,+022:27:00,  73, TG1,19550101,20041231,   12,Maria Michelaraki                                 
   62,916648,LARISSA                                 ,GR,+39:37:59,+022:25:00,  74, TG5,19820114,20190430,    -,Synoptical message from GTS
   63,100242,METHONI                                 ,GR,+36:49:59,+021:42:00,  52, TG1,19560101,20041231,   12,Maria Michelaraki                                 
   63,916734,METHONI                                 ,GR,+36:49:59,+021:42:00,  34, TG5,19820115,20190430,    -,Synoptical message from GTS
   64,100246,BUDAPEST                                ,HU,+47:30:39,+019:01:14, 153,TG13,19010101,20181231,   13,Monika Lakatos                                    
   65,100249,DALATANGI                               ,IS,+65:16:05,-013:34:32,   9,TG15,19490101,20161231,   14,Toranna Palsdottir                                
   65,904097,DALATANGI                               ,IS,+65:16:00,-013:34:59,  11, TG5,19820112,20190430,    -,Synoptical message from GTS
   65,904197,DALATANGI                               ,IS,+65:16:00,-013:34:59,  11, TG5,20060913,20190430,    -,Synoptical message from GTS
   66,100253,REYKJAVIK                               ,IS,+64:07:37,-021:54:09,  52,TG15,19490101,20161231,   14,Toranna Palsdottir                                
   67,100257,STYKKISHOLMUR                           ,IS,+65:04:26,-022:44:00,  13,TG15,19490101,20161231,   14,Toranna Palsdottir                                
   67,904013,STYKKISHOLMUR                           ,IS,+65:04:59,-022:43:59,   8, TG5,19820113,20190430,    -,Synoptical message from GTS
   68,100261,TEIGARHORN                              ,IS,+64:40:33,-014:20:38,  14,TG15,19500101,20090630,   14,Toranna Palsdottir                                
   68,175809,TEIGARHORN (AWS)                        ,IS,+64:40:32,-014:20:38,  21,TG15,20090701,20161231,   14,Toranna Palsdottir                                
   69,100265,VESTMANNAEYJAR                          ,IS,+63:24:00,-020:16:59, 118,TG15,19510101,20051231,   14,Toranna Palsdottir                                
   69,175787,STORHOFDI                               ,IS,+63:23:58,-020:17:17, 118,TG15,19490102,20130430,   14,Toranna Palsdottir                                
   69,175798,STORHOFDI (AWS)                         ,IS,+63:23:57,-020:17:17, 118,TG15,20130501,20161231,   14,Toranna Palsdottir                                
   69,904048,VESTMANNAEYJAR                          ,IS,+63:24:00,-020:16:59, 124, TG5,19820113,20190430,    -,Synoptical message from GTS
   70,100269,ALEKSANDROV GAJ                         ,RU,+50:09:00,+048:33:00,  23, TG1,19360101,20131231,   15,Vyacheslav Razuvaev                               
   70,934391,ALEKSANDROV-GAJ                         ,RU,+50:09:00,+048:33:00,  25, TG5,19820114,20131109,    -,Synoptical message from GTS
   71,100273,ARHANGELSK                              ,RU,+64:30:00,+040:43:59,   8, TG1,18810101,20131231,   15,Vyacheslav Razuvaev                               
   71,113772,ARHANGELSK                              ,RU,+64:30:00,+040:43:59,   8, TG1,18810101,20061231,   55,Olga Zolina                                       
   71,922550,ARHANGEL SK                             ,RU,+64:33:00,+040:34:59,   4, TG5,19820113,20131125,    -,Synoptical message from GTS
   72,100277,ARMAVIR                                 ,RU,+44:58:59,+041:07:00, 159, TG1,19360101,20131231,   15,Vyacheslav Razuvaev                               
   73,100281,ASTRAKAN                                ,RU,+46:16:59,+048:03:00, -23, TG1,18810101,20131231,   15,Vyacheslav Razuvaev                               
   74,100285,ELATMA                                  ,RU,+54:57:00,+041:46:00, 136, TG1,18860103,20131231,   15,Vyacheslav Razuvaev                               
   75,100289,HOSEDA HARD                             ,RU,+67:04:59,+059:22:59,  84, TG1,19360101,20131231,   15,Vyacheslav Razuvaev                               
   75,923219,HOSEDA-HARD                             ,RU,+67:04:59,+059:22:59,  84, TG5,19820114,20160416,    -,Synoptical message from GTS
   76,100293,IZEVSK                                  ,RU,+56:49:59,+053:27:00, 155, TG1,19580101,20131231,   15,Vyacheslav Razuvaev                               
   77,100297,KALININGRAD                             ,RU,+54:43:00,+020:33:00,  21, TG1,19470101,20131231,   15,Vyacheslav Razuvaev                               
   77,926702,KALININGRAD                             ,RU,+54:43:00,+020:33:00,  21, TG5,19820113,20190430,    -,Synoptical message from GTS
   78,100301,KANDALAKSA                              ,RU,+67:09:00,+032:21:00,  26, TG1,19120901,20131231,   15,Vyacheslav Razuvaev                               
   78,922217,KANDALAKSHA                             ,RU,+67:09:00,+032:21:00,  25, TG5,19820114,20190430,    -,Synoptical message from GTS
   79,100305,KEM-PORT                                ,RU,+64:58:59,+034:48:59,   7, TG1,19161201,20131231,   15,Vyacheslav Razuvaev                               
   79,922520,KEM  -PORT                              ,RU,+64:58:59,+034:47:58,   8, TG5,20061125,20190430,    -,Synoptical message from GTS
   79,922522,KEM'-PORT                               ,RU,+64:58:59,+034:48:59,   0, TG5,19820113,20060627,    -,Synoptical message from GTS
   80,100309,KURSK                                   ,RU,+51:46:00,+036:10:00, 247, TG1,18910101,20131231,   15,Vyacheslav Razuvaev                               
   80,934009,KURSK                                   ,RU,+51:46:00,+036:09:59, 247, TG5,19820113,20190430,    -,Synoptical message from GTS
   81,100313,KOJNAS                                  ,RU,+64:45:00,+047:39:00,  63, TG1,19120901,20131231,   15,Vyacheslav Razuvaev                               
   81,922583,KOJNAS                                  ,RU,+64:45:00,+047:39:00,  64, TG5,19820113,20181014,    -,Synoptical message from GTS
   82,100317,KOSTROMA                                ,RU,+57:43:59,+040:51:00, 125, TG1,19250101,20131231,   15,Vyacheslav Razuvaev                               
   82,927333,KOSTROMA                                ,RU,+57:43:59,+040:46:59, 126, TG5,20000211,20141023,    -,Synoptical message from GTS
